company_name,total_executions,completed,waiting,crashed,first_execution,last_execution,company_id,skill_count
Demo partners,6,6,0,0,2025-12-02T05:00:00.000Z,2025-12-17T05:00:00.000Z,2230,3
Nuevas Operaciones Comerciales NUCOPSA S.A.,6,5,0,0,2026-01-16T05:00:00.000Z,2026-01-17T05:00:00.000Z,3300,3
N5,6,2,4,0,2025-11-25T05:00:00.000Z,2025-11-30T05:00:00.000Z,967,3
ABS,6,4,2,0,2025-12-31T05:00:00.000Z,2026-01-15T05:00:00.000Z,2300,4
COMSUCRE,6,6,0,0,2025-12-04T05:00:00.000Z,2025-12-05T05:00:00.000Z,2876,1
SILHO - Dr. Edwin Ayala,6,6,0,0,2025-11-27T05:00:00.000Z,2026-01-05T05:00:00.000Z,2623,2
Vivobook,6,6,0,0,2025-11-15T05:00:00.000Z,2025-11-18T05:00:00.000Z,2828,1
FÍE,5,1,4,0,2025-11-25T05:00:00.000Z,2025-11-25T05:00:00.000Z,2234,1
JelouAI,5,0,0,5,2025-12-16T05:00:00.000Z,2025-12-16T05:00:00.000Z,3078,1
DIGITALNET,5,5,0,0,2025-11-26T05:00:00.000Z,2025-11-26T05:00:00.000Z,2667,2
Fernando Alvarado,4,2,0,0,2025-12-30T05:00:00.000Z,2025-12-30T05:00:00.000Z,2856,2
Santa Marina BH,4,3,0,0,2025-12-16T05:00:00.000Z,2025-12-16T05:00:00.000Z,3085,1
Amo Mis Rizos by Yuyi,4,2,2,0,2025-11-24T05:00:00.000Z,2025-11-30T05:00:00.000Z,2695,2
Ov Smart,4,4,0,0,2026-01-16T05:00:00.000Z,2026-01-18T05:00:00.000Z,3283,2
DKB LTD. SOCIEDAD POR ACCIONES SIMPLIFICADA,4,4,0,0,2025-11-15T05:00:00.000Z,2025-12-01T05:00:00.000Z,2617,1
Soma Ring,4,2,2,0,2025-11-17T05:00:00.000Z,2026-01-05T05:00:00.000Z,2858,1
Armorstorec,4,4,0,0,2025-12-09T05:00:00.000Z,2025-12-19T05:00:00.000Z,2802,1
Nuevas Operaciones C NUCOPSA,4,4,0,0,2026-01-16T05:00:00.000Z,2026-01-16T05:00:00.000Z,3320,2
INSPECTEN SMBs,4,2,1,1,2025-12-10T05:00:00.000Z,2025-12-11T05:00:00.000Z,3016,1
Novadental,4,2,1,0,2025-11-28T05:00:00.000Z,2025-12-01T05:00:00.000Z,2694,2
vidaintegraoficial,4,3,1,0,2025-11-19T05:00:00.000Z,2025-11-19T05:00:00.000Z,2866,2
Movil Bus,4,3,1,0,2026-01-08T05:00:00.000Z,2026-01-08T05:00:00.000Z,339,4
RP3,4,3,1,0,2025-11-24T05:00:00.000Z,2025-11-24T05:00:00.000Z,2910,1
FIBERGO CR,4,4,0,0,2025-12-19T05:00:00.000Z,2025-12-21T05:00:00.000Z,3120,1
alain+test001@jelou.ai,3,3,0,0,2025-11-23T05:00:00.000Z,2025-11-24T05:00:00.000Z,2838,1
Kim Self Service,3,3,0,0,2025-12-08T05:00:00.000Z,2025-12-08T05:00:00.000Z,2959,1
Start Co,3,3,0,0,2025-12-15T05:00:00.000Z,2026-01-12T05:00:00.000Z,1865,2
Prueba JSHF,3,2,0,0,2025-11-17T05:00:00.000Z,2025-11-17T05:00:00.000Z,2844,1
Dyadent,3,3,0,0,2025-12-23T05:00:00.000Z,2025-12-23T05:00:00.000Z,3140,1
DIGRAL,3,2,1,0,2025-11-26T05:00:00.000Z,2025-12-20T05:00:00.000Z,2461,1
OmniLuigi,3,3,0,0,2026-01-13T05:00:00.000Z,2026-01-13T05:00:00.000Z,2855,1
PruebasFuncionales,3,1,0,2,2026-01-15T05:00:00.000Z,2026-01-15T05:00:00.000Z,3154,2
Juan Test SMBs 4,3,0,0,3,2025-11-15T05:00:00.000Z,2025-11-18T05:00:00.000Z,2833,1
Serie,2,2,0,0,2025-11-24T05:00:00.000Z,2025-11-24T05:00:00.000Z,2840,1
CompanyTest2,2,2,0,0,2025-12-15T05:00:00.000Z,2025-12-15T05:00:00.000Z,3047,1
Ck Comercializadora,2,2,0,0,2025-12-30T05:00:00.000Z,2026-01-06T05:00:00.000Z,1847,1
Quality Assurance,2,2,0,0,2025-12-04T05:00:00.000Z,2025-12-04T05:00:00.000Z,2620,1
Totalplay,2,1,1,0,2025-11-26T05:00:00.000Z,2026-01-06T05:00:00.000Z,2014,1
Tecnodescuento,2,1,1,0,2025-11-16T05:00:00.000Z,2025-11-16T05:00:00.000Z,2600,1
ZHM Seguros,2,2,0,0,2025-12-04T05:00:00.000Z,2025-12-15T05:00:00.000Z,1964,1
TRUKEL X ,2,1,1,0,2025-12-02T05:00:00.000Z,2025-12-02T05:00:00.000Z,2961,1
BCP Sendsei,2,1,1,0,2026-01-06T05:00:00.000Z,2026-01-06T05:00:00.000Z,1973,2
Smart Services,2,2,0,0,2025-12-15T05:00:00.000Z,2025-12-15T05:00:00.000Z,2998,1
Medexcard,2,0,2,0,2026-01-10T05:00:00.000Z,2026-01-11T05:00:00.000Z,1648,1
Super self service test,2,2,0,0,2025-11-25T05:00:00.000Z,2025-11-25T05:00:00.000Z,2836,1
AM PUBLICIDAD,2,2,0,0,2025-11-19T05:00:00.000Z,2025-12-04T05:00:00.000Z,2705,1
Audaz,2,2,0,0,2025-11-17T05:00:00.000Z,2025-11-17T05:00:00.000Z,2458,2
Uno punto uno,2,2,0,0,2025-11-23T05:00:00.000Z,2025-11-23T05:00:00.000Z,2549,1
Nesec,1,1,0,0,2026-01-13T05:00:00.000Z,2026-01-13T05:00:00.000Z,2805,1
Nextgen,1,0,1,0,2026-01-08T05:00:00.000Z,2026-01-08T05:00:00.000Z,1565,1
Finanza AI,1,0,1,0,2025-12-21T05:00:00.000Z,2025-12-21T05:00:00.000Z,1758,1
Garmin,1,1,0,0,2026-01-13T05:00:00.000Z,2026-01-13T05:00:00.000Z,3275,1
JelouPasante,1,1,0,0,2026-01-05T05:00:00.000Z,2026-01-05T05:00:00.000Z,3190,1
Universidad Iberoamericana,1,0,1,0,2025-11-17T05:00:00.000Z,2025-11-17T05:00:00.000Z,2738,1
Test PMA - JS,1,1,0,0,2026-01-16T05:00:00.000Z,2026-01-16T05:00:00.000Z,3309,1
Colecciones Jonathan-S,1,0,1,0,2025-12-02T05:00:00.000Z,2025-12-02T05:00:00.000Z,2691,1
CASCEP Capacitaciones,1,1,0,0,2025-11-22T05:00:00.000Z,2025-11-22T05:00:00.000Z,2426,1
Sanamente,1,0,1,0,2025-12-23T05:00:00.000Z,2025-12-23T05:00:00.000Z,2499,1
ACME,1,1,0,0,2026-01-13T05:00:00.000Z,2026-01-13T05:00:00.000Z,3204,1
restaurante,1,1,0,0,2025-12-23T05:00:00.000Z,2025-12-23T05:00:00.000Z,3135,1
SEIDOR TEST,1,1,0,0,2026-01-15T05:00:00.000Z,2026-01-15T05:00:00.000Z,3297,1
Facephi<>Peigo,1,0,1,0,2025-11-21T05:00:00.000Z,2025-11-21T05:00:00.000Z,121,1
Balcones del paraiso,1,0,1,0,2025-11-26T05:00:00.000Z,2025-11-26T05:00:00.000Z,2396,1
TecnoSanpar,1,1,0,0,2025-12-11T05:00:00.000Z,2025-12-11T05:00:00.000Z,3007,1
MUVIMAR - Alina Munoz,1,1,0,0,2026-01-09T05:00:00.000Z,2026-01-09T05:00:00.000Z,2698,1
